idspecies,id_sp_region,current_distribution,sourceid
608,100271,"Bandon, Co Cork; Lake near Ballykealy, Co Carlow; Boyne River, Co Meath;  Lough Neagh in Cos Tyrone, Armagh, Down and Antrim. ",""
50114,100272,"unknown, no recent record ",""
50116,100274,no further records ,""
50117,100275,no recent record ,""
50118,100276,"expanding its range rapidly, probably in Ireland since ~1996. ",""
50120,100278,"north-east, south, west coasts. ",""
50122,100280,no recent record. ,""
661,100281,"one locality, Co Donegal. ",""
50124,100282,"north, south & west coasts ",""
495,100284,"local but widely distributed, widespread ",""
50127,100285,"Dublin Bay, Co Dublin; Belfast Lough, Co Antrim; Cork Harbour, Co Cork. ",""
50128,100286,"Lough Foyle, Co Derry; Shannon Estuary, Cos Clare and Limerick; Waterford Estuary, Co Waterford; Kinsale and Cork Harbours, Co Cork. ",""
50129,100287,no recent records ,""
50132,100290,"Cork Harbour, Co Cork; Clew Bay, Co Mayo; Galway Bay, Cos Clare and Galway; Lough Foyle, Co Derry. ",""
50487,100291,"all coasts, widespread ",""
50134,100292,"Carlingford Lough, Co Louth; Malahide Estuary, Co Dublin. ",""
50135,100293,no further records ,""
53244,100294,"Blarney Lake, Co Cork (requires confirmation); Botanic Gardens, Co Dublin. ",""
50138,100296,"Galway Bay and Ballinakill Bay, Co Galway; Clew Bay, Co Mayo; Cork Harbour, Co Cork; Strangford Lough, Co Down. ",""
50139,100297,"Bertrabouy Bay, Co Galway; Cork Harbour, Co Cork; Dublin Bay, Co Dublin; Carlingford Lough, Co Louth.. ",""
50143,100301,no recent receord ,""
50144,100302,"Shannon and Erne navigations, Cos Fermanagh, Leitrim, Roscommon, Longford, Westmeath, Offally, Galway Tipperary and Clare. ",""
50145,100303,"Galway Bay, Co Galway; Carlingford Lough, Co Louth. ",""
50146,100304,"all Irish coasts, widespread ",""
50147,100305,"south, west and north coasts, widespread ",""
50148,100306,widespread ,""
50149,100307,Shannon River ,""
50151,100309,"Fenit, Co Kerry; Cork Harbour, Co Cork;  Malahide, Co Dublin; Carlingford, Co Louth; Carrickfergus, Co Antrim. ",""
53287,100311,"Irish Sea and Celtic Sea, widespread ",""
50154,100312,north midlands ,""
53290,100313,no recent record ,""
50156,100314,on all coasts in some sheltered bays ,""
50157,100315,no recent record ,""
8738,100316,"Gosford Forest Park, Co Armagh; Ballinascorney Pond, Glastry Pond, Co Down ",""
50159,100317,no recent record ,""
50161,100319,"Cork and Kinsale Harbours, Co Cork. ",""
50162,100320,"The Lough, Co Cork. Occasional individuals recorded in different catchments (i.e. Lough Neagh catchment) ",""
50163,100321,no recent record ,""
50165,100323,"Ardfry, Co Galway; Fenit Harbour, Co Kerry. ",""
50169,100327,boat navigations and some isolated lakes in midlands and north. ,""
50170,100328,"Flooded quarry near Newcastle, Co Down ",""
1031,100329,"one locality, no recent record ",""
50172,100330,"widespread, most coastal inlets and estuaries.  More widely distributed on the west and south-west coasts within sheltered bays than reported. ",""
1052,100331,widespread ,""
1091,100332,north and midlands of Ireland. ,""
50176,100334,"Waterford Estuary, Co Waterford. ",""
101373,100337,"First Irish record 28 October 2006.  Black Lough, Corkeenagh, Co. Roscommon.  M95857 86663.  At  lake margins on dead reeds. ",""
50180,100338,"Cork Harbour, Co Cork; Kilrush Lagoon, Co Clare; Arklow marina, Cop Wicklow; Poolbeg Marina, Co Dublin. ",""
50181,100339,midlands and north. ,""
50182,100340,midlands and north. ,""
50186,100344,west and south-west coasts. ,""
50187,100345,west and south-west coasts. Once grown in Strangford Lough Co Down and Carlingfoird Lough Co Louth. ,""
50191,100349,"Galway Bay, Co Clare. ",""
50192,100350,no recent record ,""
50193,100351,no recent record ,""
17470,100352,"Lough Derg, Co Tipperary and Co Galway; Glasdrum Lough, Co Tipperary; Creagh, Co Cork; Drumreask, Co Monaghan. ",""
50195,100353,no recent record ,""
21164,100355,"Glastry and Dunadry, Co Down. ",""
50198,100356,no further records ,""
50199,100357,no recent record ,""
50200,100358,"west coast, widespread ",""
50201,100359,no further records ,""
5110,100361,"South Connemara, Co Galway. ",""
50204,100362,"south, west and north coasts. ",""
50205,100363,"unknown, no recent record ",""
1142,100364,"Glanworth, Co Cork; Kilmeaden, Co Waterford; Timahoe, Co Kildare; Ballinascorney, Co Dublin; Loughs Nasool, Co Sligo; Tullywania, Co Fermanagh; Donaghaguy Reservoir, Glastry clay-pits, Castlewellan, Co Down; Maghadone Quarry Co Derry; Lough Corrib, Co Galway ",""
681,100365,"widespread and rapidly expanding, probably spread by birds and mammals ",""
50208,100366,"River Inny, Co Longford. ",""
50209,100367,"Blackwater, Co Coek; Barrow, Co Carlow; lower Shannon River, Co Limerick. ",""
673,100372,"Laune River, Co Kerry; Awbeg, Co Cork; Woodfield Bog, Co Offaly; Whitewater Brook, Co Dublin; Ballynahinch River and Hillsborough Lake, Co Down; Lough Neagh and Bush River, Co Antrim; Limavady, Co Derry. ",""
50215,100373,no further records ,""
50217,100375,no known records ,""
50218,100376,no recent record ,""
50564,100377,no recent record ,""
50224,100382,"Dungarvan Bay, Co Waterford. ",""
9151,100383,"Basketstown, Co Meath; Lough Boderg, Co Roscommon; Glastry clay-pits, Co Down. ",""
50227,100385,"Dungarvan Bay, Co Waterford. ",""
50228,100386,unknown ,""
540,100387,no recent record ,""
21451,100388,"Glanworth pond, Co Cork; Upper Lough Erne and Watson's Lough, Co Fermanagh; Lurgan Lough, Co Armagh; Interlaken lake and  Bloomfield ponds also Tillysburn ponds, Co Down; Lagan River, Co Antrim. ",""
50231,100389,no recent records ,""
50232,100390,no recent record ,""
50233,100391,"Westport, Co Mayo; Inver Bay, and Arranmore Island Co Donegal; widespread culture inland ",""
50235,100393,"Shannon River, Cos Roscommon, Clare, Offally and Tipperary. ",""
50236,100394,no recent record ,""
50237,100395,no recent record ,""
50238,100396,no recent record ,""
50240,100398,no recent record ,""
101293,100402,"Lough Neagh, Cos Down and Armargh;  Grand Canal, Cos Dublin and Kildare; pond in Riverstick Co. Cork ",""
50245,100403,"three localities known  Lough Eske, Co Donegal; Coleraine, Co Derry; Portadown, Co Armagh. ",""
50247,100405,no recent record ,""
50250,100408,no further records ,""
5419,100410,"Glan Lough, Co Cork. ",""
53448,100413,Widespread ,""
50256,100414,"Cross River, Co Longford; River Fergus, Co. Clare; River Shannon, Cos Limerick and Galway; Rine Estuary Co. Clare; Maigue and Deel Estuaries Co. Limerick. ",""
50257,100415,"Tolka River, Co Dublin; Cross River and Shannon Estuary, Co Limerick. ",""
50258,100416,"Loughs Derg and Corrib, midlands and west. ",""
50259,100417,"no recent record, probably widespread ",""
50261,100420,widespread ,""
655,100421,"Glan Lough, Co Cork ",""
50263,100422,on all coasts but local ,""
50264,100423,widespread ,""
50265,100424,no recent record ,""
4832,100426,"localised distributions from plantings, on all coasts. ",""
4841,100427,no further records ,""
4823,100428,no recent records ,""
50271,100430,"Cork Harbour, Co Cork; Fenit Harbour and Dingle Harbour, Co Kerry; Dun Laoire Harbour, Co Dublin. ",""
50273,100432,widespread ,""
53495,100433,no further records ,""
50275,100434,no recent record ,""
50279,100438,"several localities, widespread in midlands ",""
50283,100442,no further records ,""
53401,100445,Dniper Basin ,""
50287,100446,Lake Lukomlskoe ,""
50289,100448,Lake Beloe ,""
50290,100449,Lake Beloe ,""
50169,100450,"lakes, rivers ",""
50291,100451,Dniper Basin ,""
50292,100452,Neman basin ,""
50293,100453,"ponds, lakes, rivers ",""
50294,100454,"ponds, lakes, rivers ",""
50295,100455,lakes ,""
50296,100456,"ponds, lakes, rivers ",""
50162,100457,"ponds, lakes, rivers ",""
50297,100458,unknown ,""
50298,100459,"ponds, lakes ",""
50299,100460,unknown ,""
50300,100461,Lake Beloe ,""
50301,100462,unknown ,""
50302,100463,rivers ,""
50303,100464,rivers ,""
50304,100465,rivers ,""
50305,100466,"ponds,  rivers ",""
100707,100467,"ponds, lakes ",""
50307,100468,unknown ,""
50310,100482,Unknown ,""
50310,100483,outskirts of Lisbon; Corroios the other at Carcavelos and Oeiras ,""
50312,100488,"Mishor Hahof,Shfelat Yehuda,South-eastern Dead Sea; Tel Aviv, Carmel coast, Sea of Gallilee, Mikve Yisrael ",""
50312,100489,Roma ,""
50312,100490,S. Russia (Sochi and Gagra) ,""
50312,100492,Istanbul and Ankara regions ,""
50314,100498,Cote d'Azur ,""
50315,100503,Across Israel - breeding in Hula Valley ,""
50317,100506,"Vienna, Upper Austria, Lower Austria, Styria, Salzburg, Tyrol? ",""
50317,100507,Across Country ,""
50317,100509,Pays-de-Loire ,""
50317,100510,Potsdam area of Berlin and Koblenz ,""
50317,100511,Southwest Ireland ,""
50317,100512,noted in 12 provinces ,""
50317,100519,Mitelland between Geneva and Basel ,""
50317,100521,Across Country ,""
50318,100522,"Upper Austria, Lower Austria, Burgenland ",""
50318,100523,Across Country ,""
50318,100528,"S.E., SW and NW England ",""
50319,100531,"Upper Rock, Windmill Hill, Catalan Bay ",""
50320,100537,"Styria, Upper Austria, Lower Austria ",""
50320,100538,sporadic on Croatian coastline ,""
50320,100539,All regions ,""
50320,100543,Montecristo and Giglio islands (Central Italy) ,""
50321,100549,All regions ,""
50321,100551,Crimean coast ,""
