taxonID,vernacularName,source,language
5,Murphy's Threadwort,,en
6,Long's Threadwort,,en
7,Great Crestwort,,en
8,Southern Crestwort,,en
9,Micheli's Balloonwort,,en
10,Texas Balloonwort,,en
11,Blue Crystalwort,,en
15,Pond Crystalwort,,en
18,Fountain Smoothcap,,en
36,Cape Thread-moss,,en
42,Toothed Clear-leaf Moss,,en
43,Southern Hookeria,,en
44,Vectis-moss,,en
46,Short Pottia,,en
48,Stanford Screw-moss,,en
51,Clay Screw-moss,,en
53,Freiberg's Screw-moss,,en
54,Heath Star Moss,,en
65,Wiesen-Moosfarn,,de
67,Krauss's Clubmoss,,en
67,selaginela,,pt
67,Sélaginelle des jardiniers,,fr
78,kuningosmunda,,et
81,Australian Tree-fern,,en
81,feto-arbóreo-da-austrália,,pt
81,feto-arbóreo-da-tasmânia,,pt
87,feto-espada,,pt
91,Chilean Hard-fern,,en
108,Französischer Streifenfarn,,de
119,keel-raunjalg,,et
130,vénuszhajpáfrány,,hu
139,avenca,,es
141,avenca-de-folha-miúda,,pt
141,avenca-de-folha-miúda,,es
143,Wasserhornfarn,,de
148,Kangaroo Fern,,en
157,Fougère allemande,,fr
157,Ostrich Fern,,en
157,pérovník pštrosí,,cs
157,Struisvaren,,nl
170,harilik pärljalg,,et
170,Onoclée,,fr
170,Sensitive Fern,,en
173,Aspidie en faux,,fr
173,Fougère-houx,,fr
173,House Holly-fern,,en
173,Sichel-Schildfarn,,de
188,Cyrtomium de Fortune,,fr
188,Cyrtomium di Fortune,,it
188,Cyrtomium en faux,,fr
193,Geröll-Wurmfarn,,de
227,Western Sword-fern,,en
235,Ribbon Fern,,en
239,Vielspaltiger Saumfarn,,de
244,csíkos szalagpáfrány,,hu
244,Fougère à feuilles longues,,fr
255,Branched Horsetail,,en
277,Abricotier d'argent,,fr
277,Arbre aux quarante écus,,fr
277,Ginkgo,,fr
277,páfrányfenyő,,hu
278,Séquoia de Chine,,fr
280,Séquoia géant,,fr
280,Wellingtonia,,en
292,Cyprès chauve,,fr
292,Cyprès de Louisiane,,fr
295,Araucaria du Chili,,fr
295,Désespoir des singes,,fr
295,Monkey-puzzle,,en
305,Awrikarja kbira,,mt
307,Cyprès de Leyland,,fr
316,Almindelig Bjørneklo,,da
